紫雪,紫雪，用于热病，高热烦燥，神昏谵语，惊风抽搐，斑疹叶衄，尿赤便秘。
左乙拉西坦片,左乙拉西坦片（Levetiracetam Tablets），商品名开浦兰。用于成人及4岁以上儿童癫痫患者部分性发作的加用治疗。
麝香壮骨膏,麝香壮骨膏，镇痛，消炎。用于风湿痛，关节痛，腰痛，神经痛，肌肉酸痛，扭伤，挫伤。
注射用降纤酶,注射用降纤酶（Defibrase for Injection），（1）急性脑梗死，包括脑血栓、脑栓塞，短暂性脑缺血发作（TIA），以及脑梗死再复发的预防。（2）心肌梗死，不稳定性心绞痛以及心肌梗死再复发的预防。（3）四肢血管病，包括股动脉栓塞，血栓闭塞性脉管炎，雷诺氏病。（4）血液呈高粘状态、高凝状态、血栓前状态。（5）突发性耳聋。（6）肺栓塞。
咽炎清片,咽炎清片，清热解毒，消肿止痛，用于喉痹（急慢性咽炎）、口疮（复发性口疮，疱疹性口炎）、牙周炎。
安宫牛黄丸,安宫牛黄丸，清热解毒，镇惊开窍。用于神昏谵语；中风昏迷及脑炎、脑膜炎、脑出血、败血症见上述症候者。
硫酸锌片,硫酸锌片（Zinc Sulfate Tablets），用于锌缺乏引起的食欲缺乏,贫血,生长发育迟缓,营养性侏儒及肠病性肢端皮炎,也可用于异食癖,类风湿性关节炎,间歇性跛行,肝豆状核变性（适用于不能用青霉胺者）,痤疮,慢性溃疡,结膜炎,口疮等的辅助治疗,
阿莫西林颗粒,阿莫西林颗粒（Amoxicillin　Granules），商品名阿莫仙、联邦阿莫仙、益萨林、阿莫仙阿莫西林颗粒、再林、再灵。用于敏感菌(不产β一内酰胺酶菌株)所致下列感染：儿科抗生素,主要用于中耳炎、鼻窦炎、咽炎、扁桃体炎、泌尿生殖道感染、皮肤软组织感染、急性支气管炎、肺炎等下呼吸道感染。
烂积丸,烂积丸，消积，化滞，驱虫。用于脾胃不和引起的食滞积聚，胸满，痞闷，腹胀坚硬，嘈杂吐酸，虫积腹痛，大便秘结。
盐酸多西环素片,盐酸多西环素片（Doxycycline Hyclate Tablets），1．本品作为选用药物之一可用于下列疾病。（1）立克次体病，如流行性斑疹伤寒、地方性斑疹伤寒、洛矶山热、恙虫病和Q热。（2）支原体属感染。（3）衣原体属感染，包括鹦鹉热、性病、淋巴肉牙肿、非特异性尿道炎、输卵管炎、宫颈炎及沙眼。（4）回归热。（5）布鲁菌病。（6）霍乱。（7）兔热病。（8）鼠疫。（9）软下疳。治疗布鲁菌病和鼠疫时需与氨基糖苷类联合应用。2．由于目前常见致病菌对四环素类耐药现象严重，仅在病原菌对本品敏感时，方有应用指征。葡萄球菌属大多对本品耐药。3．本品可用于对青霉素类过敏患者的破伤风、气性坏疽、雅司、梅毒、淋病和钩端螺旋体病以及放线菌属、李斯特菌感染。4．可用于中、重度痤疮患者作为辅助治疗。
全鹿丸,全鹿丸，补肾填精，益气培元。用于老年阳虚，腰膝酸软，畏寒肢冷，肾虚尿频，妇女血亏。
参苓白术片,参苓白术片，健脾，止泻。用于脾胃虚弱，不思饮食，或吐或泻，形瘦疲乏，面色萎黄。
心欣舒胶囊,心欣舒胶囊说明书
甲磺酸酚妥拉明分散片,甲磺酸酚妥拉明分散片
克拉霉素缓释片,克拉霉素缓释片（Clarithromycin Sustained Release Tablets），商品名诺邦、莫欣。克拉霉素缓释片适用于对克拉霉素敏感的微生物所引起的感染：1、下呼吸道感染：如支气管炎、肺炎等；2、上呼吸道感染：如咽炎、窦炎等；3、皮肤及软组织的轻中度感染：如毛囊炎、蜂窝组织炎、丹毒等。
十香暖脐膏,十香暖脐膏，温中，散寒，止痛。用于脾肾虚寒引起：脘腹冷痛，腹胀腹泻，腰痛寒疝，宫寒带下。
阿奇霉素颗粒,阿奇霉素颗粒（Azithromycin Granules），商品名再奇、泰力特、罗欣快宇。1、化脓性链球菌引起的急性咽炎、急性扁桃体炎。 2、敏感细菌引起的鼻窦炎、中耳炎、急性支气管炎、慢性支气管炎急性发作。 3、肺炎链球菌、流感嗜血杆菌以及肺炎支原体所致的肺炎。 4、沙眼衣原体及非多种耐药淋病奈瑟菌所致的尿道炎和宫颈炎。 5、敏感细菌引起的皮肤软组织感染。
复方黄黛片,复方黄黛片，中成药名。由青黛、雄黄（水飞）、太子参、丹参组成。具有清热解毒，益气生血的功效。用于初治的急性早幼粒细胞白血病。
氯化钾注射液,氯化钾注射液（Potassium Chloride Injections），1．治疗各种原因引起的低钾血症，如进食不足、呕吐、严重腹泻、应用排钾性利尿药、低钾性家族周期性麻痹、长期应用糖皮质激素和补充高渗葡萄糖后引起的低钾血症等。2．预防低钾血症，当患者存在失钾情况，尤其是如果发生低钾血症对患者危害较大时（如使用洋地黄类药物的患者），需预防性补充钾盐，如进食很少、严重或慢性腹泻、长期服用肾上腺皮质激素、失钾性肾病、Bartter综合征等。3．洋地黄中毒引起频发性、多源性早搏或快速心律失常。
小儿咳喘灵口服液,小儿咳喘灵口服液，宣肺清热、止咳、祛痰、平喘，用于上呼吸道感染、气管炎、肺炎、咳嗽等。
异维A酸胶丸,异维A酸胶丸（Isotretinoin Soft Capsules），商品名泰尔丝。适用于重度痤疮，尤其适用于结节囊肿型痤疮，亦可用于毛发红糠疹等疾病。
多烯磷脂酰胆碱胶囊,多烯磷脂酰胆碱胶囊（Polyene Phosphatidylcholine Capsules），商品名易善复。所有类型的急性和慢性肝病；预防胆结石复发；怀孕导致的肝脏损害（妊娠中毒）；银屑病；放射综合征。
马洛替酯缓释片,马洛替酯缓释片（Malotilate　Sustained-release　Tablets），商品名亚宝欣。适用于慢性肝炎、肝硬化、晚期血吸虫病肝损伤和肺结核并发的低蛋白血症。
爱活胆通,爱活胆通，溶解胆石。用于早期胆固醇性结石及孤立性、混合性以胆固醇为主的胆结石。
小儿消咳片,小儿消咳片，用于急慢性气管炎，痰热或燥痰咳嗽.
氨甲环酸氯化钠注射液,氨甲环酸氯化钠注射液（Tranexamic Acid and Sodium Chloride Injection），商品名贝瑞宁、捷宁。本品主要用于急性或慢性、局限性或全身性原发性纤维蛋白溶解亢进所致的各种出血。弥散性血管内凝血所致的继发性高纤溶状态，在未肝素化前，一般不用本品。
参三七伤药胶囊,【参三七伤药胶囊功能主治】活血祛瘀，通经活络。用于跌打损伤，肋背拘紧作痛，肢体酸软。
二维葡醛内酯片,二维葡醛内酯片（Diavitamin and Glucurolactone Tablets），商品名肝荣片。用于急、慢性肝炎和砷、汞、铅、苯等慢性中毒时肝脏损害的辅助治疗。
十滴水,十滴水，健胃，驱风。用于伤暑引起的头晕，恶心，腹痛，胃肠不适。
罗红霉素胶囊,罗红霉素胶囊（Roxithromycin　Capsules），商品名罗福新、安生、赛乐林、新卡罗、仁苏、亚力希、齐威、力弗、朗素、信虹。适用于化脓性链球菌引起的咽炎及扁桃体炎，敏感菌所致的鼻窦炎、中耳炎、急性支气管炎、慢性支气管炎急性发作，肺炎支原体或肺炎衣原体所致的肺炎;沙眼衣原体引起的尿道炎和宫颈炎;敏感细菌引起的皮肤软组织感染。
右旋糖酐铁注射液,右旋糖酐铁注射液（Iron Dextran Injection），商品名科莫非。用于治疗缺铁性贫血。
注射用两性霉素B,注射用两性霉素B（Amphotericin B for Injection），本品适用于敏感真菌所致的深部真菌感染且病情呈进行性发展者，如败血症、心内膜炎、脑膜炎（隐球菌及其它真菌）、腹腔感染（包括与透析相关者）、肺部感染、尿路感染和眼内炎等。
硒酵母片,硒酵母片（Selenious Yeast Tablets），商品名西维尔。补硒药。适用于低硒的肿瘤、肝病、心脑血管疾病病人或其他低硒引起的疾病。
葛根素滴眼液,葛根素滴眼液（Puerarin Eye Drops），商品名达靓。治疗原发性开角青光眼、高眼压症、原发性闭角型青光眼、继发性青光眼。
益肝灵片,益肝灵片，清热利湿。用于急、慢性肝炎属肝胆湿热证者。
通便灵胶囊,通便灵胶囊，泻热导滞，润肠通便。用于热结便秘，长期卧床便秘，一时性腹胀便秘，老年习惯性便秘。
愈裂贴膏,愈裂贴膏：是以尿囊素、白芨维A酸及苯丙咪唑，掺入到普通氧化锌橡皮膏中制成的硬膏剂型。其中2号(尿囊素0.4，白芨100.0)3号(尿囊素0.4，维A酸0.2，苯丙咪唑1.0)对手足皲裂疗效显著。　　
通塞脉片,通塞脉片，培补气血，养阴清热，活血化瘀，通经活络。用于血栓闭塞性脉管炎(脱疽)的毒热症。
安脑牛黄片,安脑牛黄片，清热解毒，安神熄风，开窍镇静。适用于神昏谵语，高热惊厥，烦躁不安。
新福菌素注射液,新福菌素注射液（Actinomycin　Injection），用于治疗恶性葡萄胎、绒毛膜上皮癌、肾母细胞瘤（Wilms瘤）、软组织肉瘤、尤文肉瘤（Ewing瘤）、恶性淋巴瘤、神经母细胞瘤、睾丸肿瘤等恶性肿瘤。
阿奇霉素干混悬剂,阿奇霉素干混悬剂（Azithromycin for Suspension），商品名希舒美、维宏。本品适用于敏感细菌所引起的下列感染：支气管炎、肺炎等下呼吸道感染；皮肤和软组织感染；急性中耳炎；鼻窦炎、咽炎、扁桃体炎等上呼吸道感染（青霉素是治疗化脓性链球菌咽炎的常用药，也是预防风湿热的常用药物。阿奇霉素可有效清除口咽部链球菌，但目前尚无阿奇霉素治疗和预防风湿热疗效的资料）。阿奇霉素可用于男女性传播疾病中由沙眼衣原体所致的单纯性生殖器感染。阿奇霉素亦可用于由非多重耐药淋球菌所致的单纯性生殖器感染及由杜克嗜血杆菌引起的软下疳（需排除梅毒螺旋体的合并感染）。
替莫唑胺胶囊,替莫唑胺胶囊（Temozolomide Capsule），商品名蒂清。多形性胶质母细胞瘤或间变性星形细胞瘤。
地红霉素肠溶胶囊,地红霉素肠溶胶囊（Dirithromycin Enteric-coated Capsules），商品名罗可辛、迪红、路迪。本品为大环内酯类广谱抗生素，适用于12岁以上患者，用于治疗下列敏感菌引起的轻、中度感染：慢性支气管炎急性发作：由流感嗜血杆菌、卡他莫拉菌、肺炎链球菌引起。急性支气管炎：由卡他莫拉菌、肺炎链球菌引起。社区获得性肺炎：由嗜肺军团菌、肺炎支原体、肺炎链球菌引起。鼻咽炎和扁桃体炎：由化脓性链球菌引起。单纯性皮肤和软组织感染：由金黄色葡萄球菌（甲氧西林敏感菌株）、化脓性链球菌引起。
注射用左卡尼汀,注射用左卡尼汀（Levocarnitine for Injection），商品名佐益汀、奥贝利、尼迪多、格诺林。适用于慢性肾衰长期血透病人因继发肉碱缺乏产生的一系列并发症状,临床表现如心肌病,骨骼肌病,心律失常,高脂血症,以及低血压和透析中肌痉挛等.
复方吡拉西坦脑蛋白水解物片,复方吡拉西坦脑蛋白水解物片（Compound Piracetam and Cerebroprotein Hydrolysate Tablets），1.急慢性脑血管病、脑外伤、各种中毒性脑病等原因引起的脑神经功能障碍及记忆力减退。2.先天性脑发育不全,儿童智能发育迟缓,老年性痴呆。3.中枢神经系统感染,病毒性脑膜炎,化脓性脑膜炎,精神病。
甲磺酸左氧氟沙星片,甲磺酸左氧氟沙星片（Levofloxacin　Mesylate　Tablets），商品名利复星。适用于敏感菌引起的：1．泌尿生殖系统感染，包括单纯性、复杂性尿路感染、细菌性前列腺炎、淋病奈瑟菌尿道炎或宫颈炎（包括产酶株所致者）。2．呼吸道感染，包括敏感革兰阴性杆菌所致支气管感染急性发作及肺部感染。3．胃肠道感染，由志贺菌属、沙门菌属、产肠毒素大肠杆菌、亲水气单胞菌、副溶血弧菌等所致。4．伤寒。5．骨和关节感染。6．皮肤软组织感染。7．败血症等全身感染。
复方甘草酸单铵注射液,复方甘草酸单铵注射液（Compound Ammonium Glycyrrhetate Injection），用于急、慢性，迁延型肝炎引起的肝功能异常；对中毒性肝炎、外伤性肝炎以及癌症有一定的辅助治疗作用。亦可用于食物中毒、药物中毒、药物过敏等。
毛冬青胶囊,毛冬青胶囊，心血管疾病用药，有扩张血管及抗菌消炎作用。用于冠状动脉硬化性心脏病，血栓闭塞性脉管炎，并用于中心性视网膜炎，小儿肺炎。
平消胶囊,平消胶囊，活血化瘀，止痛散结，清热解毒，扶正祛邪。对肿瘤具有一定的缓解症状、缩小瘤体、抑制肿瘤生长、提高人体免疫力、延长患者生命的作用。
缩泉胶囊,缩泉胶囊，补肾缩尿。用于肾虚之小便频数，夜卧遗尿。
小儿复方麝香草酚撒粉,【成份】本品每克含麝香草酚1.6毫克，薄荷脑1.6毫克，薄荷油1.6毫升,水杨酸5毫克，氧化锌5毫克。辅料为：
呋喃硫胺片,通用名 呋喃硫胺片
玄七通痹胶囊,玄七通痹胶囊，滋补肝肾，活血化瘀，消肿止痛。用于类风湿性关节炎。
小儿珍贝散,小儿珍贝散，清热、消炎、止痰、化痰。用于小儿气管炎，支气管炎、哮喘性支气管炎。
氟哌啶醇注射液,氟哌啶醇注射液（Haloperidol Injection），用于急、慢性各型精神分裂症、躁狂症。肌内注射本品可迅速控制兴奋躁动、敌对情绪和攻击行为。也可用于脑器质性精神障碍和老年性精神障碍。
维胺酯胶丸,维胺酯胶丸（Viaminati Capsules），适用于治疗重、中度痤疮，对鱼鳞病、银屑病、苔藓类皮肤病、及某些角化异常性皮肤病也有一定疗效。
酞丁安搽剂,酞丁安搽剂（Ftibamzone Liniment），商品名华太。本品适用于治疗单纯疱疹、带状疱疹等，对尖锐湿疣也有一定的治疗作用；可用于治疗浅表真菌感染，如体癣、股癣、手足癣等。
角鲨烯胶丸,角鲨烯胶丸（Squalene Soft Capsules），商品名海利鲨、贯通、金肽鲨、海富力。提高免疫功能，升高白细胞，用于各种缺氧性疾病、心脏病、肝炎和癌症的防治。
祛痰止咳胶囊,祛痰止咳胶囊，只要用于慢性支气管炎及支气管炎合并肺气肿，肺心病所引起的咳嗽、痰多，喘息等症
乳酸钠林格注射液,乳酸钠林格注射液（Sodium Lactate Ringer＇s Injection），调节体液、电解质及酸碱平衡药。用于代谢性酸中毒或有代谢性酸中毒的脱水病例。
盐酸丁咯地尔注射液,盐酸丁咯地尔注射液（Buflomedil Hydrochloride Injection），商品名意速、麦道可兰。脑血管病：脑部血管硬化、脑梗塞、脑血管意外恢复期及后遗症期、血管性痴呆、眩晕。外周血管疾病，如间歇性跛行、脉管炎
连翘败毒片,连翘败毒片，清热解毒，消肿止痛。用于疮疖溃烂，灼热发烧，流脓流水，丹毒疱疹，疥癣疼痒。
胃蛋白酶颗粒,胃蛋白酶颗粒（Pepsin　Granules），用于消化不良，消化功能减退及某些慢性疾病所引起的胃蛋白酶缺乏。
解毒止泻胶囊,解毒止泻胶囊，苗医：中医：清热解毒，利湿止泻。用于胃肠湿热所致的腹泻，腹胀，腹痛。
注射用硫酸奈替米星,注射用硫酸奈替米星（Netilmicin Sulfate for Injection），商品名锋可耐、奥广素、洛吉、瑞朋。适用于敏感菌引起的复杂性尿路感染、败血症、皮肤软组织感染、腹腔感染及下呼吸道感染的治疗。
活血止痛散,活血止痛散，活血散瘀，消肿止痛。用于跌打损伤，瘀血肿痛。
盐酸乙哌立松片,盐酸乙哌立松片（Eperisone Hydrochloride Tablets），商品名妙纳、佐宁。1.改善下列疾病的肌紧张状态：颈肩臂综合症、肩周炎、腰痛症。2.下列疾病引起的痉挛性麻痹：脑血管障碍、痉挛性脊髓麻痹、颈部脊椎症、手术后遗症（包括脑、脊髓肿瘤）、外伤后遗症（脊髓损伤、头部外伤）、肌萎缩性侧索硬化症、婴儿大脑性轻瘫、脊髓小脑变性症、脊髓血管障碍、亚急性脊髓神经病（SMON）及其他脑脊髓疾病。
五海瘿瘤丸,五海瘿瘤丸——全新组合方案，有效治疗甲状腺瘤、淋巴结核，乳腺增生　　
头孢克肟颗粒,头孢克肟颗粒（Cefixime Granules），商品名特普宁、再握、达力芬、世福素。广谱抗菌素。对链球菌属、肺炎球菌、淋球菌、伯雷汉氏菌属、大肠杆菌、沙雷氏杆菌属、克雷白氏杆菌属、变形杆菌属、流感杆菌所引起的感染症有效。主要用于治疗支气管炎、支气管扩张合并感染、慢性呼吸道疾患继发感染、肺炎、肾盂肾炎、膀胱炎、淋菌性尿道炎、胆囊炎、胆管炎。
胆舒软胶囊,通用名称：胆舒软胶囊
丁苯酞软胶囊,丁苯酞软胶囊（Butylphthalide Soft Capsules），商品名恩必普。轻、中度急性缺血性脑卒中。
胆石通利胶囊,胆石通利胶囊
草乌甲素片,商品名：赛福美
吗替麦考酚酯片,吗替麦考酚酯片（Mycophenloate Mofetil Tablets），商品名骁悉。可用于预防同种肾移植病人的排斥反应，及治疗难治性排斥反应，也可与环孢素和肾上腺皮质激素同时应用。
阿魏酸钠注射液,【产品优势】
氯诺昔康片,氯诺昔康片（Lornoxicam　Tablets），商品名达路、可塞风。各种急性轻度至中度疼痛和由某些类型的风湿性疾病引起的关节疼痛和炎症。
双羊喉痹通颗粒,双羊喉痹通颗粒，用于急喉痹（急性咽炎）、急乳蛾（急性扁桃体炎）所致的咽喉肿痛。
马洛替酯片,马洛替酯片（Malotilate Tablets），适用于慢性肝炎、肝硬化、晚期血吸虫病肝损伤和肺结核并发的低蛋白血症。
平消片,平消片，活血化瘀，止痛散结，清热解毒，扶正祛邪。对肿瘤具有一定的缓解症状、缩小瘤体、抑制肿瘤生长、提高人体免疫力、延长患者生命的作用。
人血白蛋白,人血白蛋白（Albumin Prepared from Human Plasma(Cold Ethanol Fractionation)），商品名贝林、上生、清华紫光古汉、Renxue Baidanbai、拜斯明-25。1．预防和治疗循环血容量减少。 2．抢救休克：如失血性休克，感染中毒性休克等。 3．用于烧伤的早期和后期治疗。 4．治疗低蛋白血症和水肿：如肝硬化、乙型肝炎、肾病综合征等引起的低蛋白血症，因食管、胃、肠道疾病引起的慢性营养缺乏，术后营养治疗，以及脑水肿等。
利培酮片,利培酮片（Risperidone Tablets），商品名维思通、索乐、卓夫。用于治疗急性和慢性精神分裂症以及其它各种精神病性状态的明显的阳性症状(如幻觉、妄想、思维紊乱、敌视、怀疑)和明显的阴性症状(如：反应迟钝、情绪淡漠及社交淡漠、少语)。也可减轻与精神分裂症有关的情感症状(如：抑郁、负罪感、焦虑)。对于急性期治疗有效的患者，在维持期治疗中，本品可继续发挥其临床疗效。
经带宁胶囊,经带宁胶囊，清热解毒，除湿止带，调经止痛。用于热毒瘀滞所致的经期腹痛，经血色暗，挟有血块，带下量多，阴部瘙痒灼热。
复合维生素B片,[拼音名]：Fuhe Weishengsu B Pian
斧标驱风油,斧标驱风油（Axe Brand Universal Oil），祛风止痛，芳香通窍。用于伤风喷嚏，鼻塞头痛，舟车晕浪，跌打扭伤，肌肉酸痛，蚊虫叮咬。
注射用更昔洛韦,注射用更昔洛韦（Ganciclovir for Injection），商品名赛美维、丽科伟。1. 预防可能发生于有巨细胞病毒感染风险的器官移植受者的巨细胞病毒病。　　2. 治疗免疫功能缺陷患者（包括艾滋病患者）发生的巨细胞病毒性视网膜炎。
复方酮康唑乳膏,复方酮康唑乳膏（Compound Ketoconazole Cream），商品名显克欣。本品主要用于皮肤浅表真菌感染，如手癣、足癣、体癣、股癣等。
富马酸亚铁咀嚼片,富马酸亚铁咀嚼片（Ferrous Fumarate Chewable Tablets），用于各种原因如慢性失血、营养不良、儿童发育期等引起的缺铁性贫血。
藏青果喉片,藏青果喉片，用于慢性咽炎，慢性喉炎，慢性扁桃体炎。
注射用甲硫氨酸维B1,注射用甲硫氨酸维B1（Methionine and Vitamin B1 for Injection），本品用于改善肝脏机能，对肝脏疾病，如急慢性肝炎、肝硬化，尤其是对脂肪肝有较明显的疗效;能改善肝内胆汁淤积;可用于酒精、巴比妥类、磺胺类药物中毒时的辅助治疗。
贞芪扶正颗粒,贞芪扶正颗粒，有提高人体免疫功能，保护骨髓和肾上腺皮质功能;用于各种疾病引起的虚损;配合手术、放射线、化学治疗，促进正功能的恢复。
藿香正气丸,藿香正气丸，解表化湿,理气和中。用于外感风寒,内伤湿滞,头痛昏重,胸膈痞闷,脘腹胀痛,呕吐泄泻。
痔疮胶囊,痔疮胶囊，清热解毒，凉血止痛，祛风消肿。用于各种痔疮，肛裂，大便秘结。
麝香回阳膏,麝香回阳膏是家传中医外科治伤特效药。该药主治：疔毒恶疮、无名肿毒、腰痈搭背、妇人奶疮、偏口对口、伤手臁疮、火烧水汤、跌打损伤、车轧马踢、黑红两伤、刀镰斧伤、蜂蝎刺毒、脚气疮、黄水疮、冻疮等均有明显疗效。该药经本人曾外祖父王振东老先生创制至今，已70年有余。麝香回阳膏的发展史，既是一段家族历史，又是近代中国民族资本家创业、发展、鼎盛、衰落的奋斗史。
麒麟丸,通用名称：麒麟丸
复方人参间苯二酚搽剂,复方人参间苯二酚搽剂（Compound Ginseng and Resorcinol Liniment），用于脂溢性脱发、斑秃及其他各种脱发的辅助治疗。
注射用门冬酰胺酶,注射用门冬酰胺酶（Asparaginase for Injection），商品名立益。适用于治疗急性淋巴细胞性白血病(简称急淋)、急性粒细胞性白血病、急性单核细胞性白血病、慢性淋巴细胞性白血病、霍奇金病及非霍奇金病淋巴瘤、黑色素瘤等.本品对上述各种瘤细胞的增殖有抑制作用,其中对儿童急淋的诱导缓解期疗效最好,有时对部分常用化疗药物缓解后复发的患者也可能有效,但单独应用时缓解期较短,而且容易产生耐药性,故多与其他化疗药物组成联合方案应用,以提高疗效.
银芩胶囊,银芩胶囊
丙戊酸钠糖浆,丙戊酸钠糖浆（Sodium Valproate Oral Syrup），商品名德巴金。本品主要用于癫痫的单纯或复杂性失神发作、肌阵挛发作和全身性强直-阵挛发作(大发作)。对复杂部分性发作也有一定疗效。
硫酸羟氯喹片,硫酸羟氯喹片（Hydroxychloroquine Sulfate Tablets），用于治疗盘状红斑狼疮及系统性红斑狼疮。
注射用二巯丁二钠,注射用二巯丁二钠（Sodium Dimercaptosuccinate Injection），本品用于治疗锑、汞、砷、铅、铜等金属中毒及肝豆状核变性。
阴痒康洗剂,阴痒康洗剂，清热燥湿、杀虫止痒。适用于白带增多，外阴瘙痒。
维生素B6软膏,维生素B6软膏（Vitamin B6 Ointment），用于痤疮、酒渣鼻、脂溢性湿疹、皱皮症。
熊胆丸,熊胆丸（Bepiastine），清热散风，止痛退翳。用于风热或肝经湿热引起的目赤肿痛，羞明多泪。
多糖蛋白片,多糖蛋白片（Duotang Danbai Pian），用于白细胞减少症，传染性肝炎，神经衰弱等症的辅助治疗。
维A酸片,维A酸片（Tretinoin Tablets），商品名艾力可片。适用于痤疮、扁平苔癣、白斑、毛发红糠疹和面部糠疹等。可作为银屑病、鱼鳞病的辅助治疗，也可用于治疗多发性寻常疣以及角化异常类的各种皮肤病。
七厘胶囊,七厘胶囊，化瘀消肿，止痛止血。用于跌打损伤，血瘀疼痛，外伤出血。
泛昔洛韦片,泛昔洛韦片（Famvir），商品名丽珠风、凡乐、海正韦克、泛维尔。用于治疗带状疱疹和原发性生殖器疱疹。
静灵口服液,静灵口服液，滋阴潜阳，宁神益智。用于儿童多动症，见有注意力涣散，多动多语，冲动任性，学习困难，舌质红，脉细数等肾阴不足，肝阳偏旺者。
硝苯地平控释片,硝苯地平控释片（Nifedipine　Controlled released　Tablets），商品名拜新同、欣然。治疗冠心病稳定性心绞病(劳力性心绞痛) 、治疗高血压。
香荷止痒软膏,香荷止痒软膏，驱风止痛，止痒。用于风火牙痛，蚊虫叮咬，头痛腹痛，晕车晕船，伤风感冒，风湿骨痛。
盐酸丙米嗪片,盐酸丙米嗪片（Imipramine Hydrochloride Tablets），用于治疗迟缓性的内因性抑郁症。还可用于儿童遗尿症。镇静作用和抗胆碱均属中等。
水飞蓟宾葡甲胺片,水飞蓟宾葡甲胺片（Silibin Meglumine Tablets），用于急、慢性肝炎，初期肝硬化，中毒性肝损害的辅助治疗。
盐酸吗啉胍片,盐酸吗啉胍片（Moroxydine Hydrochloride Tablets），用于流感病毒及疱疹病毒感染．
新生化颗粒,新生化颗粒，活血、祛淤、止痛。用于产后恶露不行，少腹疼痛，也可以用于上节育环后引起的阴道流血，月经过多。
保胎无忧散,保胎无忧散
三七止血片,三七止血片，用于吐血，衄血，血痢血崩，产后流血不止，月经过多及外伤出血。
苯丙氨酯片,苯丙氨酯片（Phenprobamate），用于腰背、四肢肌腱炎、韧带损伤、肌紧张痛、神经痛及风湿性关节炎。
丁溴东莨菪碱胶囊,丁溴东莨菪碱胶囊（Scopolamine Butylbromide Capsules），①．用于胃、十二指肠、结肠内镜检查的术前准备，内镜逆行胰胆管造影，和胃、十二指肠、结肠的气钡低张造影或腹部CT扫描的术前准备，可减少或抑制胃肠道蠕动；②．用于各种病因引起的胃肠道痉挛、胆绞痛、肾绞痛或胃肠道蠕动亢进等。
单糖浆,汉语拼音: Dantangjiang
咪唑立宾片,咪唑立宾片，商品名布累迪宁。抑制肾移植时的排异反应。
百合固金丸,百合固金丸，养阴润肺，化痰止咳。用于肺肾阴虚，燥咳少痰，咽干喉痛。
多巴丝肼片,多巴丝肼片（Levodopaand Benserazide Tablet），商品名美多芭。适用于帕金森病(原发性震颤麻痹)以及脑炎后、动脉硬化性或中毒性帕金森综合征。
缬沙坦分散片,缬沙坦分散片（Valsartan Dispersible Tablets），商品名达乐。各类轻中度高血压，尤其适用于对ACE抑制剂不耐受的患者。
注射用丁二磺酸腺苷蛋氨酸,注射用丁二磺酸腺苷蛋氨酸（Ademetionine　1,4　-　Butanedisulfonate　for　Injection），商品名思美泰。适用于肝硬化前和肝硬化所致肝内胆汁郁积。适用于妊娠期肝内胆汁郁积。
体外培育牛黄,本品以牛科动物牛 Bos taurus domesticus Gmelin 的新鲜胆汁作母液，加入去氧胆酸、胆酸、复合胆红素钙等制成。
云南白药胶囊,云南白药胶囊，化瘀止血，活血止痛，解毒消肿。用于跌打损伤，瘀血肿痛，吐血、咳血、便血、痔血、崩漏下血，手术出血，疮疡肿毒及软组织挫伤，闭合性骨折，支气管扩张及肺结核咳血，溃疡病出血，以及皮肤感染性疾病。
糠酸莫米松凝胶,糠酸莫米松凝胶（MometasoneFuroateGel），本品用于湿疹、神经性皮炎、异位性皮炎及皮肤瘙痒症。
抗骨增生片,抗骨增生片，补肾，活血，止痛。用于肥大性脊椎炎，颈椎病，跟骨刺，增生性关节炎，大骨节病。
妇康宝口服液,妇康宝口服液，补血，调经，止血。用于面色萎黄，头晕乏力，月经后错，量多色淡，经期延长。
消肿片,消肿片，消肿拔毒。用于瘰疬痰核，流注，乳房肿块，阴疽肿毒等症。
阿魏化痞膏,阿魏化痞膏，化痞消积。用于气滞血凝，症瘕痞块，脘腹疼痛，胸胁胀满。
格列吡嗪控释片,格列吡嗪控释片（Glipizide Controlled-release Tablets），商品名智康、瑞易宁。适用于经饮食控制及体育锻炼2～3个月疗效不满意的轻、中度2型糖尿病患者，这类糖尿病患者的胰岛β细胞需有一定的分泌胰岛素功能，且无急性并发症(如感染、创伤、酮症酸中毒、高渗性昏迷等)，不合并妊娠，无严重的慢性并发症。
巴曲酶注射液,巴曲酶注射液（Batroxobin Injection），商品名立止血针。1．急性脑梗塞； 2．改善闭塞性动脉硬化症引起的缺血性症状； 3．改善末梢及微循环障碍（如：突发性耳聋、振动病）。
重组牛碱性成纤维细胞生长因子滴眼液,重组牛碱性成纤维细胞生长因子滴眼液（Recombinant Bovine Basic Fibroblast Growth Factor in Eye Drop Form），商品名贝复舒。本品适用于各种原因引起的角膜病变和轻中度干眼症，角膜擦伤，轻中度化学烧伤、角膜手术及术后愈合不良，地址状（或营养性）单疱性角膜溃疡和大泡性角膜炎等。
金嗓散结片,金嗓散结片，中成药名。由金银花、板蓝根、玄参、蒲公英、木蝴蝶、浙贝母、蝉蜕、马勃、丹参、红花等16味药组成。具有清热解毒，活血化瘀，利湿化痰的功效。用于热毒蓄结、气滞血瘀而形成的慢喉喑（声带小结、声带息肉、声带粘膜增厚）及由此而引起的声音嘶哑等症。
